"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Nhlh1",5.1180587069437,2.90809385114275,23.7108359404532,1.18308771685342e-09,1.6505256737822e-05,11.5928463382889,"NPCbyNSC",34.7287530730727
"Stmn2",5.01708974469843,3.07503646593796,19.7879569172068,6.20238617944914e-09,4.32647447947475e-05,10.4759519447378,"NPCbyNSC",32.3813166916159
"Calb2",5.48044759396241,3.85276794393315,18.662710399839,1.05776512835866e-08,4.91896043524388e-05,10.0842145814542,"NPCbyNSC",44.6456464192954
"Nhlh2",3.88100804448402,2.30654819494439,14.1706722314191,1.27276320539143e-07,0.000312128461230025,8.07689688610461,"NPCbyNSC",14.7332933080632
"Neurod2",3.9279024728987,2.88939453341687,13.8994990071686,1.51282382462473e-07,0.000312128461230025,7.92750693206846,"NPCbyNSC",15.2200635005695
"Gal",5.12725813433665,2.65831967447177,13.8490393086611,1.5627872751542e-07,0.000312128461230025,7.89928435936774,"NPCbyNSC",34.9509104991565
"Mmp9",-5.64805446999315,4.3773806695255,-13.4148355692405,2.07639365376679e-07,0.000312128461230025,7.65075809161486,"NPCbyNSC",0.0199418840785038
"Cldn3",5.65045753287478,3.12511071525889,13.3187109424592,2.21371716324294e-07,0.000312128461230025,7.59433196620932,"NPCbyNSC",50.2293093434491
"Id2",2.94938951911802,9.48701900062384,13.3136846226857,2.22116822378757e-07,0.000312128461230025,7.59136712232606,"NPCbyNSC",7.72422141150545
"Gpx3",-4.65424196815774,6.51973787301251,-13.302852753238,2.23731962748208e-07,0.000312128461230025,7.58497292655699,"NPCbyNSC",0.0397130790726042
"Rarres2",3.78982667067598,4.56589499069811,12.5472815434602,3.75972750926625e-07,0.00047683598619794,7.12199730938981,"NPCbyNSC",13.8309339149119
"Tac2",5.23595954435989,3.69982320456105,12.2213328655239,4.74460588185224e-07,0.000551599972147671,6.91146648331772,"NPCbyNSC",37.6860724701985
"C1qc",-4.69404945404678,7.80579557889962,-11.8948609968413,6.023491703394e-07,0.000646413328877305,6.69366732508847,"NPCbyNSC",0.0386322776078227
"Nacad",2.8387519064906,1.59468444772895,11.778232202416,6.5688494454605e-07,0.000654585847240139,6.61412270177917,"NPCbyNSC",7.15400886707589
"Ass1",2.771896946289,3.11485019959853,11.5469131421998,7.81865083079127e-07,0.000666044139096029,6.4535681025434,"NPCbyNSC",6.83005381747187
"I830077J02Rik",-3.0759214365669,1.85058183971551,-11.3448680153795,9.12646227229314e-07,0.000666044139096029,6.31022553909934,"NPCbyNSC",0.11859199726515
"Dusp14",2.95017783984828,3.36190949304206,11.2820843362826,9.5805207924756e-07,0.000666044139096029,6.26508022412199,"NPCbyNSC",7.72844325161837
